theme,relevance,year,first_author,n_authors,title,venue,volume,pages,citations,doi,url,supports,abstract_verified
2-maldistribution,supporting,2022,Antonio L. Avila-Marin,7,CFD analysis of the performance impact of geometrical shape on volumetric absorbers in a standard cup,Renewable Energy,201,256-272,7,10.1016/j.renene.2022.10.032,https://doi.org/10.1016/j.renene.2022.10.032,CFD of absorber geometrical shape in a standard cup,title/snippet only
2-maldistribution,supporting,2025,Masoud Behzad,3,Multi-objective optimization on thermo-structural performance of honeycomb absorbers for concentrated solar power systems,Case Studies in Thermal Engineering,70,106068,2,10.1016/j.csite.2025.106068,https://doi.org/10.1016/j.csite.2025.106068,Thermo-structural optimisation of honeycomb absorbers; cites the flow-instability methodology,title/snippet only
2-parallelchannel,analogy,2024,Toochukwu Aka,2,An entropic understanding of flow maldistribution in thermally isolated parallel channels,International Journal of Heat and Mass Transfer,227,125564,5,10.1016/j.ijheatmasstransfer.2024.125564,https://doi.org/10.1016/j.ijheatmasstransfer.2024.125564,Two thermally isolated heated channels; flow ratio >10 with sharp entropy rise; maldistributed state thermodynamically favoured over equal flow (flow boiling),full text (PDF in literature/)
2-parallelchannel,analogy,2024,Md Emadur Rahman,2,The mechanism by which thermal coupling leads to an asymptotic maldistribution stability boundary for flow boiling in parallel channels,International Journal of Heat and Mass Transfer,228,125671,5,10.1016/j.ijheatmasstransfer.2024.125671,https://doi.org/10.1016/j.ijheatmasstransfer.2024.125671,"Lateral thermal coupling ALLEVIATES maldistribution; single eigenvalue sets onset; benefit saturates above a critical lateral conductance (flow boiling) - cross-coupling is stabilising, so cite as counter-consideration",full text (PDF in literature/)
2-parallelchannel,supporting,2022,Shumin Zheng,5,Experimental investigation of the flow distribution of high-pressure CO2 flowing in heated parallel channels,The Journal of Supercritical Fluids,184,105569,13,10.1016/j.supflu.2022.105569,https://doi.org/10.1016/j.supflu.2022.105569,"Experimental flow distribution of high-pressure CO2 in heated parallel channels (single fluid phase, gas-like)",title/snippet only
2-parallelchannel,supporting,2022,M. Strobel,2,Analysis of Flow Maldistribution in Compact Heat Exchangers,Journal of Fluids Engineering,144,,9,10.1115/1.4054917,https://doi.org/10.1115/1.4054917,Header-induced maldistribution measured with compressed air in compact-HX headers,yes
2-parallelchannel,supporting,2023,Paweł Dąbrowski,1,Comparison of various flow maldistribution quantification methods in mini heat exchangers,Scientific Reports,13,,16,10.1038/s41598-023-38784-5,https://doi.org/10.1038/s41598-023-38784-5,"Comparison of maldistribution quantification metrics (velocity, mass flow, pressure, temperature)",yes
2-context,supporting,2018,Gurveer Singh,2,On the Flow Stability in a Circular Cylinder based Open Volumetric Air Receiver for Solar Convective Furnace,Energy Procedia,144,88-94,5,10.1016/j.egypro.2018.06.012,https://doi.org/10.1016/j.egypro.2018.06.012,"Flow stability in a straight-pore OVAR (pre-window, gives the criterion lineage)",title/snippet only
2-context,supporting,2022,Maximilian Drexelius,3,Experimental evaluation of wind induced pressure fluctuations in cavity shaped open volumetric air receivers,Solar Energy,247,146-157,3,10.1016/j.solener.2022.10.003,https://doi.org/10.1016/j.solener.2022.10.003,Measured wind-induced pressure fluctuations in cavity-shaped OVARs,title/snippet only
2-context,supporting,2022,Antonio L. Avila-Marin,1,CFD parametric analysis of wire meshes open volumetric receivers with axial-varied porosity and comparison with small-scale solar receiver tests,Renewable Energy,193,1094-1105,23,10.1016/j.renene.2022.05.060,https://doi.org/10.1016/j.renene.2022.05.060,"Wire-mesh OVAR with axial-varied porosity, CFD parametric",title/snippet only
